step	cost_avg	cost_best	solution_best
0   	   -4156.62   	    291.167	{ map[524] = Complex(2426.954909, -892.926168);  }
1   	   -3572.04   	    305.984	{ map[577] = Complex(124.765068, -3419.101346);  }
2   	   -3126.41   	    305.984	{ map[577] = Complex(124.765068, -3419.101346);  }
3   	    -2480.2   	    305.984	{ map[577] = Complex(124.765068, -3419.101346);  }
4   	   -2083.21   	    316.948	{ map[803] = Complex(-15.234362, -4275.349218);  }
5   	   -1571.66   	    324.085	{ map[790] = Complex(56.076539, -4141.700457);  }
6   	   -1183.93   	    324.085	{ map[790] = Complex(56.076539, -4141.700457);  }
7   	   -782.343   	    368.919	{ map[801] = Complex(122.553985, -4124.812578);  }
8   	   -455.546   	    369.911	{ map[742] = Complex(55.654593, -3944.649024);  }
9   	   -117.438   	    369.911	{ map[742] = Complex(55.654593, -3944.649024);  }
10   	    51.6853   	    370.403	{ map[727] = Complex(71.216848, -3875.176940);  }
11   	     167.14   	    370.403	{ map[727] = Complex(71.216848, -3875.176940);  }
12   	    220.495   	    372.218	{ map[576] = Complex(-128.261716, -3528.391672);  }
13   	    248.898   	    372.218	{ map[576] = Complex(-128.269955, -3528.384591);  }
14   	    283.235   	    372.218	{ map[576] = Complex(-128.274192, -3528.382554);  }
15   	    299.914   	    372.218	{ map[576] = Complex(-128.274192, -3528.382554);  }
16   	    318.188   	    372.218	{ map[576] = Complex(-128.274192, -3528.382554);  }
17   	    340.297   	    372.324	{ map[588] = Complex(-78.118220, -3528.951019);  }
18   	    349.929   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
19   	     351.82   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
20   	    359.096   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
21   	    360.028   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
22   	    361.077   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
23   	    366.864   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
24   	    367.508   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
25   	    368.379   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
26   	    368.759   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
27   	    369.199   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
28   	    369.765   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
29   	    370.524   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
30   	    370.842   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
31   	    371.023   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
32   	    371.449   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
33   	     371.72   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
34   	    371.918   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
35   	    371.955   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
36   	    371.993   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
37   	    371.986   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
38   	    371.974   	    373.423	{ map[575] = Complex(59.982452, -3408.841784);  }
